,State,Name,Type,Winning Candidate,Winning Party,Winning Percentage,Winner's Votes,Runner Up Candidate,Runner Up Party,Runner Up Percentage,Runner Up Votes,Margin %,Margin Votes
39,Bihar,Purvi Champaran,OC,Radha Mohan Singh,BJP,50,542193,Dr. Rajesh Kumar,VIP,42,453906,8,88287
40,Bihar,Sheohar,OC,Lovely Anand,JD(U),45,476612,Ritu Jaiswal,RJD,42,447469,2,29143
41,Bihar,Sitamarhi,OC,Devesh Chandra Thakur,JD(U),47,515719,Arjun Ray,RJD,42,464363,4,51356
42,Bihar,Madhubani,OC,Ashok Kumar Yadav,BJP,53,553428,Mohammad Ali Ashraf Fatmi,RJD,39,401483,14,151945
43,Bihar,Jhanjharpur,OC,Ramprit Mandal,JD(U),48,533032,Suman Kumar Mahaseth,VIP,31,348863,16,184169
44,Bihar,Supaul,OC,Dileshwar Kamait,JD(U),48,595038,Chandrahas Chaupal,RJD,34,425235,13,169803
45,Bihar,Araria,OC,Pradeep Kumar Singh,BJP,47,600146,Mohammed Shahnawaz Alam,RJD,46,580052,1,20094
46,Bihar,Kishanganj,OC,Mohammad Jawed,INC,35,402850,Mujahid Alam,JD(U),29,343158,5,59692
47,Bihar,Katihar,OC,Tariq Anwar,INC,48,567092,Dulal Chandra Goswami,JD(U),44,517229,4,49863
48,Bihar,Purnia,OC,Pappu Yadav,Independent,47,567556,Santosh Kumar,JD(U),45,543709,1,23847
49,Bihar,Madhepura,OC,Dinesh Chandra Yadav,JD(U),52,640649,Da Kumar Chandradeep,RJD,38,466115,14,174534
50,Bihar,Darbhanga,OC,Gopal Jee Thakur,BJP,55,566630,Lalit Kumar Yadav,RJD,37,388474,17,178156
51,Bihar,Muzaffarpur,OC,Raj Bhushan Choudhary,BJP,55,619749,Ajay Nishad,INC,34,384822,21,234927
52,Bihar,Vaishali,OC,Veena Devi,LJP(RV),48,567043,Vijay Kumar Shukla,RJD,40,477409,7,89634
53,Bihar,Gopalganj,SC,Alok Kumar Suman,JD(U),48,511866,Prem Nath Chanchal Alias Chanchal Paswan,VIP,36,384686,11,127180
54,Bihar,Siwan,OC,Vijay Lakshmi Devi,JD(U),38,386508,Hena Shahab,Independent,29,293651,9,92857
55,Uttar Pradesh,Maharajganj,OC,Janardan Singh Sigriwal,BJP,52,529533,Aakash Kumar Singh,INC,42,426882,10,102651
56,Bihar,Saran,OC,Rajiv Pratap Rudy,BJP,46,471752,Rohini Acharya,RJD,44,458091,1,13661
57,Bihar,Hajipur,SC,Chirag Paswan,LJP(RV),53,615718,Shiv Chandra Ram,RJD,38,445613,14,170105
58,Bihar,Ujiarpur,OC,Nityanand Rai,BJP,49,515965,Alok Kumar Mehta,RJD,43,455863,5,60102
59,Bihar,Samastipur,SC,Shambhavi,LJP(RV),52,579786,Sunny Hazari,INC,35,392535,17,187251
60,Bihar,Begusarai,OC,Giriraj Singh,BJP,50,649331,Abdhesh Kumar Roy,CPI,43,567851,6,81480
61,Bihar,Khagaria,OC,Rajesh Verma,LJP(RV),50,538657,Sanjay Kumar,CPI(M),35,377526,15,161131
62,Bihar,Bhagalpur,OC,Ajay Kumar Mandal,JD(U),50,536031,Ajeet Sharma,INC,40,431163,9,104868
63,Bihar,Banka,OC,Giridhari Yadav,JD(U),49,506678,Jai Prakash Narayan Yadav,RJD,39,402834,10,103834
64,Bihar,Munger,OC,Rajeev Ranjan Singh Alias Lalan Singh,JD(U),48,550146,Kumari Anita,RJD,41,469276,7,80870
65,Bihar,Nalanda,OC,Kaushalendra Kumar,JD(U),48,559422,Sandeep Saurav,CPI(ML)L,34,390308,14,169114
66,Bihar,Patna Sahib,OC,Ravi Shankar Prasad,BJP,54,588270,Anshul Avijit,INC,40,434424,14,153846
67,Bihar,Pataliputra,OC,Misha Bharti,RJD,49,613283,Ram Kripal Yadav,BJP,42,528109,6,85174
68,Bihar,Arrah,OC,Sudama Prasad,CPI(ML)L,48,529382,R. K. Singh,BJP,42,469574,5,59808
69,Bihar,Buxar,OC,Sudhakar Singh,RJD,40,438345,Mithlesh Tiwari,BJP,38,408254,2,30091
70,Bihar,Sasaram,SC,Manoj Kumar,INC,46,513004,Shivesh Kumar,BJP,45,493847,1,19157
71,Bihar,Karakat,OC,Raja Ram Singh Kushwaha,CPI(ML)L,36,380581,Pawan Singh,Independent,26,274723,10,105858
72,Bihar,Jahanabad,OC,Surendra Prasad Yadav,RJD,47,443035,Chandeshwar Prasad,JD(U),32,300444,15,142591
73,Maharashtra,Aurangabad,OC,Abhay Kumar Sinha,RJD,49,465567,Sushil Kumar Singh,BJP,40,386456,8,79111
74,Bihar,Gaya,SC,Jitan Ram Manjhi,HAM(S),51,494960,Kumar Sarvjeet,RJD,40,393148,10,101812
75,Bihar,Nawada,OC,Vivek Thakur,BJP,47,410608,Shrawan Kumar,RJD,39,342938,7,67670
76,Bihar,Jamui,SC,Arun Bharti,LJP(RV),51,509046,Archana Kumari,RJD,40,396564,11,112482
77,Chhattisgarh,Raigarh,ST,Radheshyam Rathiya,BJP,55,808275,Menka Devi Singh,INC,39,567884,16,240391
78,Chhattisgarh,Janjgir-Champa,SC,Kamlesh Jangre,BJP,48,678199,Shivkumar Dahariya,INC,44,618199,4,60000
79,Chhattisgarh,Korba,OC,Jyotsna Mahant,INC,46,570182,Saroj Pandey,BJP,43,526899,3,43283
80,Chhattisgarh,Bilaspur,OC,Tokhan Sahu,BJP,53,724937,Devender Singh Yadav,INC,41,560379,12,164558
81,Chhattisgarh,Rajnandgaon,OC,Santosh Pandey,BJP,49,712057,Bhupesh Baghel,INC,46,667646,3,44411
82,Chhattisgarh,Durg,OC,Vijay Baghel,BJP,62,956497,Rajendra Sahu,INC,33,518271,28,438226
83,Chhattisgarh,Raipur,OC,Brijmohan Agrawal,BJP,66,1050351,Vikas Upadhyay,INC,29,475066,36,575285
84,Chhattisgarh,Mahasamund,OC,Roop Kumari Choudhary,BJP,53,703659,Tamradhwaj Sahu,INC,42,558203,10,145456
85,Chhattisgarh,Bastar,ST,Mahesh Kashyap,BJP,45,458398,Kawasi Lakhma,INC,40,403153,5,55245
86,Chhattisgarh,Kanker,ST,Bhojraj Nag,BJP,47,597624,Biresh Thakur,INC,47,595740,0,1884
87,Dadra and Nagar Haveli and Daman and Diu,Dadra And Nagar Haveli,ST,Delkar Kalaben Mohanbhai,BJP,58,121074,Ajit Ramjibhai Mahala,INC,30,63490,28,57584
88,Delhi,North East Delhi,OC,Manoj Tiwari,BJP,53,824451,Kanhaiya Kumar,INC,44,685673,8,138778
89,Delhi,East Delhi,OC,Harsh Malhotra,BJP,52,664819,Kuldeep Kumar (Monu),AAP,45,571156,7,93663
90,Delhi,New Delhi,OC,Bansuri Swaraj,BJP,53,453185,Somnath Bharti,AAP,44,374815,9,78370
91,Delhi,North West Delhi,SC,Yogender Chandoliya,BJP,58,866483,Udit Raj,INC,38,575634,19,290849
92,Delhi,West Delhi,OC,Kamaljeet Sehrawat,BJP,55,842658,Mahabal Mishra,AAP,42,643645,13,199013
93,Delhi,South Delhi,OC,Ramvir Singh Bidhuri,BJP,53,692832,Sahi Ram,AAP,43,568499,9,124333
94,Goa,South Goa,OC,Captain Viriato Fernandes,INC,48,217836,Pallavi Shrinivas Dempo,BJP,45,204301,3,13535
95,Gujarat,Banaskantha,OC,Geniben Thakor,INC,48,671883,Rekhaben Hiteshbhai Chaudhary,BJP,46,641477,2,30406
96,Gujarat,Patan,OC,Bharatsinhji Dabhi,BJP,49,591947,Chandanji Thakor,INC,46,560071,2,31876
97,Gujarat,Mahesana,OC,Haribhai Patel,BJP,63,686406,Ramji Thakor (Palvi),INC,33,358360,30,328046
98,Gujarat,Sabarkantha,OC,Shobhnaben Mahendrasinh Baraiya,BJP,53,677318,Tushar Chaudhary,INC,40,521636,12,155682
99,Gujarat,Gandhinagar,OC,Amit Shah,BJP,76,1010972,Sonal Patel,INC,20,266256,56,744716
100,Gujarat,Ahmedabad East,OC,Hasmukh Patel,BJP,68,770459,Himmatsinh Patel,INC,27,308704,40,461755
101,Gujarat,Ahmedabad West,SC,Dineshbhai Kodarbhai Makwana,BJP,63,611704,Bharat Makwana,INC,33,325267,29,286437
102,Gujarat,Surendranagar,OC,Chandubhai Chhaganbhai Shihora,BJP,59,669749,Rutvik Makwana,INC,36,408132,23,261617
103,Gujarat,Rajkot,OC,Parshottam Rupala,BJP,67,857984,Paresh Dhanani,INC,29,373724,38,484260
104,Gujarat,Porbandar,OC,Mansukh Mandaviya,BJP,68,633118,Lalitbhai Vasoya,INC,26,249758,41,383360
105,Gujarat,Jamnagar,OC,Poonamben Maadam,BJP,58,620049,J.P Marvia,INC,36,382041,22,238008
106,Gujarat,Junagadh,OC,Rajesh Chudasama,BJP,54,584049,Hirabhai Jotva,INC,41,448555,12,135494
107,Gujarat,Amreli,OC,Bharatbhai Manubhai Sutariya,BJP,66,580872,Jennyben Thummar,INC,29,259804,36,321068
108,Gujarat,Bhavnagar,OC,Nimuben Jayantibhai Bambhania,BJP,68,716883,Umesh Makwana,AAP,24,261594,43,455289
109,Gujarat,Anand,OC,Mitesh Rameshbhai Patel,BJP,52,612484,Amitbhai Chavda,INC,44,522545,7,89939
110,Gujarat,Kheda,OC,Devusinh Jesingbhai Chauhan,BJP,63,744435,Kalusinh Dabhi,INC,32,386677,30,357758
111,Gujarat,Panchmahal,OC,Rajpalsinh Mahendrasinh Jadhav,BJP,70,794579,Gulabsinh Chaudhan,INC,25,285237,45,509342
112,Gujarat,Dahod,ST,Jasvantsinh Sumanbhai Bhabhor,BJP,61,688715,Prabhaben Taviyad,INC,31,355038,29,333677
113,Gujarat,Vadodara,OC,Hemang Yogeshchandra Joshi,BJP,72,873189,Jashpalsinh Padhiyar,INC,24,291063,48,582126
114,Gujarat,Chhota Udaipur,ST,Jashubhai Bhilubhai Rathva,BJP,62,796589,Sukhrambhai Rathwa,INC,31,397812,31,398777
115,Gujarat,Bharuch,OC,Mansukhbhai Vasava,BJP,50,608157,Chaitar Vasava,AAP,43,522461,7,85696
116,Gujarat,Bardoli,ST,Parbhubhai Vasava,BJP,57,763950,Siddharth Chaudhary,INC,39,533697,17,230253
117,Gujarat,Navsari,OC,C. R. Patil,BJP,77,1031065,Naishadh Desai,INC,19,257514,57,773551
118,Gujarat,Valsad,ST,Dhaval Laxmanbhai Patel,BJP,56,764226,Anantbhai Patel,INC,40,553522,15,210704
119,Haryana,Kurukshetra,OC,Naveen Jindal,BJP,44,542175,Dr. Sushil Gupta,AAP,42,513154,2,29021
120,Haryana,Sirsa,SC,Selja Kumari,INC,54,733823,Ashok Tanwar,BJP,34,465326,19,268497
121,Haryana,Hisar,OC,Jai Parkash,INC,48,570424,Ranjit Singh Chautala,BJP,43,507043,5,63381
122,Haryana,Karnal,OC,Manohar Lal Khattar,BJP,54,739285,Divyanshu Budhiraja,INC,37,506708,17,232577
123,Haryana,Sonipat,OC,Satpal Brahamchari,INC,48,548682,Mohan Lal Badoli,BJP,46,526866,1,21816
124,Haryana,Rohtak,OC,Deepender Singh Hooda,INC,62,783578,Dr. Arvind Kumar Sharma,BJP,35,438280,27,345298
125,Haryana,Bhiwani–Mahendragarh,OC,Dharambir Singh Chaudhary,BJP,49,588664,Rao Dan Singh,INC,46,547154,3,41510
126,Haryana,Gurgaon,OC,Rao Inderjit Singh,BJP,50,808336,Raj Babbar,INC,45,733257,4,75079
127,Haryana,Faridabad,OC,Krishan Pal Gurjar,BJP,53,788569,Mahender Pratap Singh,INC,41,615655,11,172914
128,Himachal Pradesh,Mandi,OC,Kangana Ranaut,BJP,52,537022,Vikramaditya Singh,INC,45,462267,7,74755
129,Uttar Pradesh,Hamirpur,OC,Anurag Thakur,BJP,57,607068,Satpal Raizada,INC,40,424711,17,182357
130,Himachal Pradesh,Shimla,SC,Suresh Kumar Kashyap,BJP,53,519748,Vinod Sultanpuri,INC,44,428297,9,91451
131,Jammu and Kashmir,Srinagar,OC,Aga Syed Ruhullah Mehdi,JKNC,52,356866,Waheed Ur Rehman Para,JKPDP,24,168450,27,188416
132,Jammu and Kashmir,Anantnag-Rajouri,OC,Mian Altaf Ahmed Larvi,JKNC,50,521836,Mehbooba Mufti,JKPDP,23,240042,27,281794
133,Jammu and Kashmir,Udhampur,OC,Dr. Jitendra Singh,BJP,51,571076,Chaudhary Lal Singh,INC,40,446703,11,124373
134,Jammu and Kashmir,Jammu,OC,Jugal Kishore Sharma,BJP,52,687588,Raman Bhalla,INC,42,552090,10,135498
135,Jharkhand,Dumka,ST,Nalin Soren,JMM,46,547370,Sita Murmu,BJP,44,524843,1,22527
136,Jharkhand,Godda,OC,Nishikant Dubey,BJP,49,693140,Pradeep Yadav,INC,42,591327,7,101813
137,Jharkhand,Chatra,OC,Kali Charan Singh,BJP,52,574556,Krishna Nand Tripathy,INC,32,353597,17,220959
138,Jharkhand,Kodarma,OC,Annpurna Devi,BJP,57,791657,Vinod Kumar Singh,CPI(ML)L,30,414643,27,377014
139,Jharkhand,Giridih,OC,Chandra Prakash Choudhary,AJSU,35,451139,Mathura Prasad Mahato,JMM,29,370259,6,80880
140,Jharkhand,Dhanbad,OC,Dulu Mahato,BJP,55,789172,Anupama Singh,INC,32,457589,23,331583
141,Jharkhand,Ranchi,OC,Sanjay Seth,BJP,45,664732,Yashaswini Sahay,INC,37,544220,8,120512
142,Jharkhand,Jamshedpur,OC,Bidyut Baran Mahato,BJP,56,726174,Samir Kumar Mohanty,JMM,36,466392,20,259782
143,Jharkhand,Singhbhum,SC,Joba Majhi,JMM,51,520164,Geeta Kora,BJP,34,351762,16,168402
144,Jharkhand,Khunti,ST,Kali Charan Munda,INC,54,511647,Arjun Munda,BJP,38,361972,15,149675
145,Jharkhand,Lohardaga,ST,Sukhdeo Bhagat,INC,49,483038,Samir Oraon,BJP,35,343900,14,139138
146,Jharkhand,Palamau,SC,Vishnu Dayal Ram,BJP,55,770362,Mamata Bhuiyan,RJD,34,481555,20,288807
147,Jharkhand,Hazaribagh,OC,Manish Jaiswal,BJP,51,654613,Jai Prakash Bhai Patel,INC,29,377927,21,276686
148,Karnataka,Belgaum,OC,Jagadish Shettar,BJP,55,762029,Mrinal Hebbalkar,INC,42,583592,12,178437
149,Karnataka,Bagalkot,OC,Gaddigoudar Parvatagouda Chandanagouda,BJP,50,671039,Samyukta Shivanand Patil,INC,45,602640,5,68399
150,Karnataka,Bijapur,SC,Ramesh Jigajinagi,BJP,51,672781,Raju Alagur,INC,45,595552,5,77229
151,Karnataka,Gulbarga,SC,Radhakrishna Doddamani,INC,49,652321,Umesh. G. Jadhav,BJP,47,625116,2,27205
152,Karnataka,Raichur,ST,G. Kumar Naik,INC,51,670966,Raja Amareshwara Naik,BJP,45,591185,6,79781
153,Karnataka,Bidar,OC,Sagar Eshwar Khandre,INC,53,666317,Bhagwant Khuba,BJP,43,537442,10,128875
154,Karnataka,Koppal,OC,K. Rajashekhar Basavaraj Hitnal,INC,49,663511,Basavaraj K. Sharanappa,BJP,46,617154,3,46357
155,Karnataka,Bellary,ST,E. Tukaram,INC,52,730845,B. Sreeramulu,BJP,45,631853,7,98992
156,Karnataka,Haveri,OC,Basavaraj Bommai,BJP,50,705538,Anandswamy Gaddadevarmath,INC,47,662025,3,43513
157,Karnataka,Dharwad,OC,Prahlad Joshi,BJP,52,716231,Vinod Asooti,INC,45,618907,7,97324
158,Karnataka,Uttara Kannada,OC,Vishweshwar Hegde Kageri,BJP,61,782495,Anjali Nimbalkar,INC,35,445067,26,337428
159,Karnataka,Davanagere,OC,Prabha Mallikarjun,INC,47,633059,Gayithri Siddeshwara,BJP,45,606965,1,26094
160,Karnataka,Shimoga,OC,B. Y. Raghavendra,BJP,56,778721,Geetha Shivarajkumar,INC,38,535006,17,243715
161,Karnataka,Udupi Chikmagalur,OC,Kota Srinivas Poojary,BJP,59,732234,K. Jayaprakash Hegde,INC,38,473059,21,259175
162,Karnataka,Hassan,OC,Shreyas M. Patel,INC,49,672988,Prajwal Revanna,JD(S),46,630339,3,42649
163,Karnataka,Dakshina Kannada,OC,Brijesh Chowta,BJP,53,764132,Padmaraj R. Poojary,INC,43,614924,10,149208
164,Karnataka,Chitradurga,SC,Govind Makthappa Karjol,BJP,50,684890,B. N. Chandrappa,INC,46,636769,3,48121
165,Karnataka,Tumkur,OC,V. Somanna,BJP,55,720946,S. P. Muddahanumegowda,INC,41,545352,13,175594
166,Karnataka,Mandya,OC,H. D. Kumaraswamy,JD(S),58,851881,Venkataramane Gowda,INC,38,567261,19,284620
167,Karnataka,Mysore,OC,Yaduveer Krishnadatta Chamaraja Wadiyar,BJP,53,795503,M. Lakshmana,INC,44,656241,9,139262
168,Karnataka,Chamarajanagar,SC,Sunil Bose,INC,54,751671,Balaraj S.,BJP,41,562965,13,188706
169,Karnataka,Bangalore Rural,OC,C. N. Manjunath,BJP,56,1079002,D. K. Suresh,INC,42,809355,14,269647
170,Karnataka,Bangalore North,OC,Shobha Karandlaje,BJP,56,986049,M. V. Rajeev Gowda,INC,41,726573,14,259476
171,Karnataka,Bangalore Central,OC,P. C. Mohan,BJP,50,658915,Mansoor Ali Khan,INC,47,626208,2,32707
172,Karnataka,Bangalore South,OC,Tejaswi Surya,BJP,60,750830,Sowmya Reddy,INC,37,473747,22,277083
173,Karnataka,Chikballapur,OC,K. Sudhakar,BJP,53,822619,M. S. Raksha Ramaiah,INC,43,659159,10,163460
174,Karnataka,Kolar,OC,M. Mallesh Babu,JD(S),51,691481,K. V. Gowtham,INC,45,620093,5,71388
175,Kerala,Kannur,OC,K. Sudhakaran,INC,48,518524,M. V. Jayarajan,CPI(M),38,409542,10,108982
176,Kerala,Vatakara,OC,Shafi Parambil,INC,49,557528,K. K. Shailaja,CPI(M),39,443022,10,114506
177,Kerala,Wayanad,OC,Rahul Gandhi,INC,59,647445,Annie Raja,CPI,26,283023,33,364422
178,Kerala,Kozhikode,OC,M. K. Raghavan,INC,47,520421,Elamaram Kareem,CPI(M),34,374245,13,146176
179,Kerala,Malappuram,OC,E. T. Mohammed Basheer,IUML,59,644006,V Vaseef,CPI(M),31,343888,27,300118
180,Kerala,Ponnani,OC,M. P. Abdussamad Samadani,IUML,54,562516,K.S. Hamza,CPI(M),31,326756,22,235760
181,Kerala,Palakkad,OC,V. K. Sreekandan,INC,40,421169,A. Vijayaraghavan,CPI(M),33,345886,7,75283
182,Kerala,Alathur,SC,K. Radhakrishnan,CPI(M),40,403447,Ramya Haridas,INC,38,383336,2,20111
183,Kerala,Thrissur,OC,Suresh Gopi,BJP,37,412338,V. S. Sunilkumar,CPI,30,337652,6,74686
184,Kerala,Chalakudy,OC,Benny Behanan,INC,41,394171,C. Raveendranath,CPI(M),34,330417,6,63754
185,Kerala,Ernakulam,OC,Hibi Eden,INC,52,482317,K. J. Shine,CPI(M),25,231932,27,250385
186,Kerala,Idukki,OC,Dean Kuriakose,INC,51,432372,Joice George,CPI(M),35,298645,15,133727
187,Kerala,Kottayam,OC,K. Francis George,KEC,43,364631,Thomas Chazhikadan,KC(M),33,277365,10,87266
188,Kerala,Alappuzha,OC,K. C. Venugopal,INC,38,404560,A. M. Ariff,CPI(M),32,341047,6,63513
189,Kerala,Mavelikkara,SC,Kodikunnil Suresh,INC,41,369516,Arun Kumar C. A.,CPI,40,358648,1,10868
190,Kerala,Pathanamthitta,OC,Anto Antony,INC,39,367623,T. M. Thomas Issac,CPI(M),32,301504,7,66119
191,Kerala,Kollam,OC,N. K. Premachandran,RSP,48,443628,M. Mukesh,CPI(M),32,293326,16,150302
192,Kerala,Attingal,OC,Adoor Prakash,INC,33,328051,V. Joy,CPI(M),33,327367,0,684
193,Kerala,Thiruvananthapuram,OC,Shashi Tharoor,INC,37,358155,Rajeev Chandrasekhar,BJP,35,342078,1,16077
194,Madhya Pradesh,Bhind,SC,Sandhya Ray,BJP,51,537065,Phool Singh Baraiya,INC,45,472225,6,64840
195,Madhya Pradesh,Gwalior,OC,Bharat Singh Kushwah,BJP,49,671535,Praveen Pathak,INC,44,601325,5,70210
196,Madhya Pradesh,Guna,OC,Jyotiraditya Scindia,BJP,67,923302,Yadvendra Rao Deshraj Singh,INC,27,382373,39,540929
197,Madhya Pradesh,Sagar,OC,Lata Wankhede,BJP,68,787979,Chandra Bhushan Singh Bundela,INC,27,316757,40,471222
198,Madhya Pradesh,Tikamgarh,SC,Virendra Kumar Khatik,BJP,65,715050,Pankaj Ahirwar,INC,28,311738,36,403312
199,Madhya Pradesh,Damoh,OC,Rahul Singh Lodhi,BJP,65,709768,Tarbar Singh Lodhi,INC,27,303342,37,406426
200,Madhya Pradesh,Khajuraho,OC,V. D. Sharma,BJP,67,772774,Kamlesh Kumar,BSP,20,231545,47,541229
201,Madhya Pradesh,Satna,OC,Ganesh Singh,BJP,43,459728,Siddharth Sukhlal Kushwaha,INC,35,374779,8,84949
202,Madhya Pradesh,Rewa,OC,Janardan Mishra,BJP,52,477459,Neelam Abhay Mishra,INC,30,284085,21,193374
203,Madhya Pradesh,Sidhi,OC,Rajesh Mishra,BJP,50,583559,Kamleshwar Indrajit Kumar,INC,32,377143,18,206416
204,Madhya Pradesh,Shahdol,ST,Himadri Singh,BJP,61,711143,Phunde Lal Singh Marko,INC,27,313803,34,397340
205,Madhya Pradesh,Jabalpur,OC,Ashish Dubey,BJP,68,790133,Dinesh Yadav,INC,26,303459,42,486674
206,Madhya Pradesh,Mandla,ST,Faggan Singh Kulaste,BJP,48,751375,Omkar Singh Markam,INC,42,647529,6,103846
207,Madhya Pradesh,Balaghat,OC,Bharti Pardhi,BJP,51,712660,Samrat Ashok Singh Saraswar,INC,38,538148,12,174512
208,Madhya Pradesh,Chhindwara,OC,Bunty Vivek Sahu,BJP,49,644738,Nakul Nath,INC,40,531120,8,113618
209,Madhya Pradesh,Hoshangabad,OC,Darshan Singh Choudhary,BJP,64,812147,Sanjay Sharma,INC,30,380451,34,431696
210,Madhya Pradesh,Vidisha,OC,Shivraj Singh Chouhan,BJP,76,1116460,Pratapbhanu Sharma,INC,20,295052,56,821408
211,Madhya Pradesh,Bhopal,OC,Alok Sharma,BJP,65,981109,Arun Shrivastava,INC,32,479610,33,501499
